country,score,gdp,life_exp,freedom,gov_corr,generosity
Finland,7.808700085,10.63926697,71.9008255,0.949172199,0.195444584,-0.059482019
Denmark,7.645599842,10.77400112,72.40250397,0.951444268,0.168489456,0.066201776
Switzerland,7.559899807,10.97993279,74.10244751,0.921336651,0.303728431,0.105911039
Iceland,7.504499912,10.77255917,73,0.948891878,0.711709738,0.246944219
Norway,7.487999916,11.08780384,73.20078278,0.955750287,0.263218194,0.13453263
Netherlands,7.448900223,10.81271172,72.30091858,0.908547819,0.364717126,0.20761244
Sweden,7.353499889,10.75879383,72.60076904,0.939144194,0.250880182,0.111614622
New Zealand,7.299600124,10.50094318,73.20262909,0.936217487,0.22113885,0.191598073
Austria,7.294199944,10.7428236,73.00250244,0.899989486,0.499954879,0.085429221
Luxembourg,7.237500191,11.45068073,72.59999847,0.90563643,0.367084295,-0.004620588
Canada,7.23210001,10.69236851,73.60160065,0.933913231,0.390843362,0.124770768
Australia,7.222799778,10.72059631,73.60453796,0.915431738,0.41516912,0.19046016
United Kingdom,7.164500237,10.60013485,72.30160522,0.834743679,0.435915917,0.263732493
Israel,7.128600121,10.41752529,73.20025635,0.747580588,0.78085506,0.10259372
Costa Rica,7.121399879,9.658156395,71.29985046,0.934738934,0.786332428,-0.10242971
Ireland,7.093699932,11.16097832,72.30078888,0.886982977,0.357184172,0.145784974
Germany,7.075799942,10.7328186,72.20201874,0.867371082,0.456422031,0.080179386
United States,6.939599991,10.92576885,68.29949951,0.842619538,0.699715316,0.149891734
Czech Republic,6.910900116,10.40416336,70.04793549,0.818537354,0.85844624,-0.230861515
Belgium,6.863500118,10.6736393,72.00164795,0.813582063,0.612297952,-0.078691199
United Arab Emirates,6.790800095,11.1099987,67.08278656,0.941345513,0.594502211,0.123450845
Malta,6.772799969,10.53383827,72.19999695,0.924911439,0.658547282,0.214965805
France,6.663799763,10.58422279,73.80193329,0.825467646,0.583521128,-0.130641967
Mexico,6.465000153,9.797797203,68.29902649,0.858709276,0.806821585,-0.175266623
Taiwan Province of China,6.45539999,10.77568531,69.59999847,0.77153033,0.73188293,-0.073198698
